song_name,artist,song_lyrics,song_composition,song_lang
 Morena Flor  ,  Vinicius de Moraes ,  Morena flor me dê um cheirinho Cheinho de amor Depois também me dê todo esse denguinho Que só você tem Sem você o que ia ser de mim Eu ia ficar tão triste Tudo ia ser tão ruim Acontece que a Bahia fez você todinha assim Só para mim  , Toquinho / Vinícius de Moraes. ,pt
 No Colo da Serra  ,  Vinicius de Moraes ,  Uma casinha qualquer No colo da serra Um palmo de terra Pra se plantar O colo de uma mulher Uma companheira Uma brasileira Pra se amar Se eu tiver que lutar Vou é lutar por ela Se eu tiver que morrer Vou é morrer por ela E se eu tiver que ser feliz Você vai ter que ser feliz também! Homens vieram da noite Em gritos de guerra Feriram a terra O céu e o mar Homens ficaram no chão Mirando as estrelas Mas sem poder vê-las No céu brilhar E o que mais prometer Aos herdeiros da vida? E que versos fazer À mulher concebida? E quando alguém morrer assim Vai ser a morte para mim também! E que versos fazer À mulher concebida? Se eu tiver que morrer Vou morrer pela vida! Se eu tiver que morrer Vou morrer pela vida!  , Toquinho / Vinícius de Moraes. ,pt
 Paiol de Pólvora  ,  Vinicius de Moraes ,  Estamos trancados no paiol de pólvora Paralisados no paiol de pólvora Olhos vendados no paiol de pólvora Dentes cerrados no paiol de pólvora Só tem entrada no paiol de pólvora Ninguém diz nada no paiol de pólvora Ninguém se encara no paiol de pólvora Só se enche a cara no paiol de pólvora Mulher e homem no paiol de pólvora Ninguém tem nome no paiol de pólvora O azar é sorte no paiol de pólvora A vida é morte no paiol de pólvora São tudo flores no paiol de pólvora TV a cores no paiol de pólvora Tomem lugares no paiol de pólvora Vai pelos ares o paiol de pólvora  , Toquinho / Vinícius de Moraes. ,pt
 Poema Dos Olhos da Amada  ,  Vinicius de Moraes ,"  Oh, minha amada Que os olhos teus São cais noturnos Cheios de adeus São docas mansas Trilhando luzes Que brilham longe Longe nos breus Oh, minha amada Que olhos os teus Quanto mistério Nos olhos teus Quantos saveiros Quantos navios Quantos naufrágios Nos olhos teus Oh, minha amada Que olhos os teus Se Deus houvera Fizera-os Deus Pois não os fizera Quem não soubera Que há muitas eras Nos olhos teus Ah, minha amada De olhos ateus Cria a esperança Nos olhos meus De verem um dia O olhar mendigo Da poesia Nos olhos teus  ", Paulo Soledade / Vinícius de Moraes. ,pt
 Soneto de Aniversário  ,  Vinicius de Moraes ,"  Passam-se dias, horas, meses, anos Amadureçam as ilusões da vida Prossiga ela sempre dividida Entre compensações e desenganos Faça-se a carne mais envilecida Diminuam os bens, cresçam os danos Vença o ideal de andar caminhos planos Melhor que levar tudo de vencida Queira-se antes ventura que aventura A medida que a têmpora embranquece E fica tenra a fibra que era dura E eu te direi: amiga minha, esquece Que grande é este amor meu de criatura Que vê envelhecer e não envelhece  ", Vinícius de Moraes. ,pt
 Um Novo Dia  ,  Vinicius de Moraes ,"  Um novo dia vem nascendo Um novo sol já vai raiar Parece a vida, rompendo em luz E que nos convida a amar Oh, meu irmão, não desespera Espera a luz acontecer Para que a vida renasça em paz Nesse novo amanhecer Surgem as abelhas em zoeira a sugar o mel das flores gentis Param as ovelhas pelo monte, a recordar os horizontes felizes Vindo à distância cantam galos em longínquos intervalos de sons Pombos revoando, vão uivando, vão passando nestes céus tão azuis Ah, quanta cor e luz! E o movimento vai crescendo Vai aumentando em amplidão Parece a vida pulsar no ar O bater de um coração Sobem pregões vindos da praça Começa o povo a aparecer Quem quer comprar neste novo dia A alegria de viver?  ", Edú Lobo / Vinícius de Moraes. ,pt
 Valsinha  ,  Vinicius de Moraes ,  Um dia ele chegou tão diferente Do seu jeito de sempre chegar E olhou-a dum jeito mais quente Do que sempre costuma olhar E não maldisse a vida tanto Quanto era seu jeito de sempre falar E nem deixou-a só num canto Pra seu grande espanto convidou-a pra dançar E aí ela se fez bonita como há muito tempo não queria ousar Com seu vestido decotado cheirando a guardado de tanto esperar Então os dois deram-se os braços como há muito tempo não se usava dar E cheios de ternura e graça foram para a praça e começaram a se abraçar E ali dançaram tanta dança que a vizinhança toda despertou E foi tanta felicidade que toda cidade se iluminou E foram tantos beijos loucos tantos risos roucos como não se ouvia mais Que o mundo compreendeu E o dia amanheceu Em paz  ,Not known,pt
 Veja Você  ,  Vinicius de Moraes ,"  Veja você, eu que tanto cuidei, minha paz Tenho o peito doendo, sangrando de amor Por demais Agora eu sei a extensão da loucura que fiz Eu que acordo cantando Sem medo de ser infeliz Quem te viu, quem te vê, hein, rapaz? Você tinha era manias demais Mas aí o amor chegou Desabou a sua paz Despediu seu desamor pra nunca mais Algum dia você vai compreender A extensão de todo bem que eu lhe fiz E você há de dizer: meu amor, eu sou feliz Quem te viu e quem te vê, hein, rapaz?  ", Toquinho / Vinícius de Moraes. ,pt
 A Rosa Desfolhada  ,  Vinicius de Moraes ,"  Tento compor o nosso amor Dentro da tua ausência Toda a loucura, todo o martírio De uma paixão imensa Teu toca-discos, nosso retrato Um tempo descuidado Tudo pisado, tudo partido Tudo no chão jogado E em cada canto Teu desencanto Tua melancolia Teu triste vulto desesperado Ante o que eu te dizia E logo o espanto e logo o insulto O amor dilacerado E logo o pranto ante a agonia Do fato consumado Silenciosa Ficou a rosa No chão despetalada Que eu com meus dedos tentei a medo Reconstruir do nada: O teu perfume, teus doces pêlos A tua pele amada Tudo desfeito, tudo perdido A rosa desfolhada  ", Toquinho / Vinícius de Moraes. ,pt
 As Cores de Abril  ,  Vinicius de Moraes ,"  As cores de abril Os ares de anil O mundo se abriu em flor E pássaros mil Nas flores de abril Voando e fazendo amor O canto gentil De quem bem te viu Num pranto desolador Não chora, me ouviu Que as cores de abril Não querem saber de dor Olha quanta beleza Tudo é pura visão E a natureza transforma a vida em canção Sou eu, o poeta, quem diz Vai e canta, meu irmão Ser feliz é viver morto de paixão  ", Vinícius de Moraes. ,pt
 Eu Agradeço  ,  Vinicius de Moraes ,"  Eu agradeço Eu agradeço a você Muito obrigado por toda a beleza que você nos deu Sua presença, eu reconheço Foi a melhor recompensa Que a vida nos ofereceu Foi muito lindo Você ter vindo Sempre ajudando, sorrindo, dizendo Que não tem de quê Eu agradeço, eu agradeço Você ter me virado do avesso E ensinado a viver Eu reconheço que não tem preço Gente que gosta de gente assim feito você  ", Edú Lobo / Vinícius de Moraes. ,pt
 Mais Um Adeus  ,  Vinicius de Moraes ,"  Mais um adeus Uma separação Outra vez, solidão Outra vez, sofrimento Mais um adeus Que não pode esperar O amor é uma agonia Vem de noite, vai de dia É uma alegria E de repente Uma vontade de chorar Contraponto Olha, benzinho, cuidado Com o seu resfriado Não pegue sereno Não tome gelado O gim é um veneno Cuidado, benzinho Não beba demais Se guarde para mim A ausência é um sofrimento E se tiver um momento Me escreva um carinho E mande o dinheiro Pro apartamento Porque o vencimento Não é como eu: Não pode esperar O amor é uma agonia Vem de noite, vai de dia É uma alegria E de repente Uma vontade de chorar  ", Toquinho / Vinícius de Moraes. ,pt
" Pedro, Meu Filho...  ",  Vinicius de Moraes ,"  Como eu nunca lutei para deixar-te nada além do amanhã indispensável: Um quintal de terra verde onde corra, quem sabe, um córrego pensativo; e nessa terra, um teto simples onde possas ocultar a terrível herança que te deixou teu pai apaixonado - a insensatez de um coração constantemente apaixonado. E porque te fiz com o meu sêmen homem entre os homens, e te quisera para sempre escravo do dever de zelar por esse alqueire, não porque seja meu, mas porque foi plantado com os frutos da minha mais dolorosa poesia. Da mesma forma que eu, muitas noite, me debrucei sobre o teu berço e verti sobre teu pequenino corpo adormecido as minhas mais indefesas lágrimas de amor, e pedi a todas as divindades que cravassem na minha carne as farpas feitas para a tua. E porque vivemos tanto tempo juntos e tanto tempo separados, e o que o convívio criou nunca a ausência pôde destruir. Assim como eu creio em ti porque nasceste do amor e cresceste no âmago de mim como uma árvore dentro de outra, e te alimentaste de minhas vísceras, e ao te fazeres homem rompeste meu alburno e estiraste os braços para um futuro em que acreditei acima de tudo. E sendo que reconheço nos teus pés os pés do menino que eu fui um dia, em frente ao mar; e na aspereza de tuas plantas as grandes pedras que grimpei e os altos troncos que subi; em tuas palmas as queimaduras do infinito que procurei como um louco tocar. Porque tua barba vem da minha barba, e o teu sexo do meu sexo, e há em ti a semente da morte criada por minha vida. E minha vida, mais que ser um templo, é uma caverna interminável, em cujo recesso esconde-se um tesouro que me foi legado por meu pai, mas cujo esconderijo eu nunca encontrei, e cuja descoberta ora te peço. Como as amplas estradas da mocidade se transformaram nestas estreitas veredas da madureza, e o sol que se põe atrás de mim alonga a minha sombra como uma seta em direção ao tenebroso norte. E a morte me espera em algum lugar oculta, e eu não quero ter medo de ir ao seu inesperado encontro. Por isso que eu chorei tantas lágrimas para que não precisasse chorar, sem saber que criava um mar de pranto em cujos vórtices te haverias também de perder. E amordacei minha boca para que não gritasses e ceguei meus olhos para que não visses; e quanto mais amordaçado, mais gritavas; e quanto mais cego, mais vias. Porque a poesia foi para mim uma mulher cruel em cujos braços me abandonei sem remissão, sem sequer pedir perdão a todas as mulheres que por ela abandonei. E assim como sei que toda a minha vida foi uma luta para que ninguém tivesse mais que lutar: Assim é o canto que te quero cantar, pedro meu filho...  ", Vinícius de Moraes. ,pt
 Sei Lá a Vida Tem Sempre Razão  ,  Vinicius de Moraes ,"  Tem dias que eu fico pensando na vida E sinceramente não vejo saída Como é por exemplo que dá pra entender A gente mal nasce e começa a morrer Depois da chegada vem sempre a partida Porque não há nada sem separação Sei lá, sei lá A vida é uma grande ilusão Sei lá, sei lá Só sei que ela está com a razão Sei lá, sei lá A vida é uma grande ilusão Sei lá, sei lá Só sei que ela está com a razão Ninguém nunca sabe que males se apronta Fazendo de conta, fingindo esquecer Que nada renasce antes que se acabe E o Sol que desponta tem que anoitecer De nada adianta ficar-se de fora A hora do sim é o descuido do não Sei lá, sei lá Eu só sei que é preciso paixão Sei lá, sei lá A vida tem sempre razão  ", Toquinho / Vinícius de Moraes. ,pt
 Sem Mais Adeus  ,  Vinicius de Moraes ,"  Vim, cheio de saudade Cheio de coisas lindas pra dizer Vim porque sentia Que nada existia fora de você Nem a poesia, amor Na sua ausência quis me receber Vim banhado em pranto Eu te amo tanto Vem, vem aos braços meus Sem mais adeus Oh, vem  ", Francis Hime / Vinícius de Moraes. ,pt
 Tem Dó  ,  Vinicius de Moraes ,"  Ai, tem dó Quem viveu junto não pode nunca viver só Ai, tem dó Mesmo porque você não vai ter coisa melhor Não me venha achar ruim Porque você me conheceu assim Me diga agora, e agora? Não foi assim que você gamou? Você sabe muito bem Que mesmo louco assim gamei também Me diga agora, ora, ora Será que alguém não foi quem mudou?  ", Baden Powell / Vinícius de Moraes. ,pt
 Canção do Amanhecer  ,  Vinicius de Moraes ,"  Ouve Fecha os olhos, meu amor É noite ainda Que silêncio E nós dois Na tristeza de depois A contemplar O grande céu do adeus Ah, não existe paz Quando o adeus existe E é tão triste O nosso amor Oh, vem comigo Em silêncio Vem olhar Esta noite amanhecer Iluminar Aos nossos passos tão sozinhos Todos os caminhos Todos os carinhos Vem raiando a madrugada Música no céu  ", Edú Lobo / Vinícius de Moraes. ,pt
 Melancia e Coco Verde  ,  Vinicius de Moraes ,"  Melancia é fruta verde e dá botão Coco verde é fruta dura e cai no chão Menina, case comigo Que eu sou bom trabalhador  De dia durmo consigo De noite morro de amor Para consigo morar Eu vou querer a enfeitar Com os cardumes do céu  Com as estrelas do mar Menina venha comigo Consigo eu juro que vou Me siga para onde eu sigo  Me siga para onde eu for Para consigo morar Eu vou querer lhe ofertar  A minha vida no céu A minha morte no mar Menina, minha senhora  É hora de se mudar  A vida me faz voltar Eu na sua companhia  Sigo pr'onde for Corpo cheio de vontade  Coração em flor Quero ser minha senhora  Para meu senhor Coco verde e melancia Para sempre amor  ", Vinícius de Moraes. ,pt
 Meu Tempo  ,  Vinicius de Moraes ,"  Minha sorte está lançada Eu sou, eu sou estrada Eu sou, eu sou levada Eu sou, eu sou partida Contra o grande nada - lá vou eu! Ao romper da madrugada O sol no pensamento E o tempo contra o vento E a minha voz alçada Contra o grande nada - lá vou eu! ""Quem vem lá?"" Pergunta a solidão ""Sou eu!"" Sou eu que vou porque o meu tempo nasceu Entre os ecos do infinito Eu grito, eu mato a solidão Eu sou meu tempo, eu vou A ferro e fogo, eu corro Eu vou, eu canto e grito: amor! Eu vou, eu vou, eu canto e grito: amor!  ", Marilia Medalha / Vinícius de Moraes. ,pt
 O Que Tinha de Ser  ,  Vinicius de Moraes ,  Porque foste na vida A última esperança Encontrar-te me fez criança Porque já eras meu Sem eu saber sequer Porque és o meu homem E eu tua mulher Porque tu me chegaste Sem me dizer que vinhas E tuas mãos foram minhas com calma Porque foste em minh'alma Como um amanhecer Porque foste o que tinha de ser  , Antonio Carlos Jobim / Vinícius de Moraes. ,pt
 Para Uma Menina Com Uma Flor  ,  Vinicius de Moraes ,"  Para uma Menina com uma Flor Porque você é uma menina com uma flor e tem uma voz que não sai, eu lhe prometo amor eterno, salvo se você bater pino, o que, aliás, você não vai nunca porque você acorda tarde, tem um ar recuado e gosta de brigadeiro: quero dizer, o doce feito com leite condensado. E porque você é uma menina com uma flor e chorou na estação de Roma porque nossas malas seguiram sozinhas para Paris e você ficou morrendo de pena delas partindo assim no meio de todas aquelas malas estrangeiras. E porque você sonha que eu estou passando você para trás, transfere sua d.d.c. para o meu cotidiano, e implica comigo o dia inteiro como se eu tivesse culpa de você ser assim tão subliminar. E porque quando você começou a gostar de mim procurava saber por todos os modos com que camisa esporte eu ia sair para fazer mimetismo de amor, se vestindo parecido. E porque você tem um rosto que está sempre um nicho, mesmo quando põe o cabelo para cima, parecendo uma santa moderna, e anda lento, e fala em 33 rotações mas sem ficar chata. E porque você é uma menina com uma flor, eu lhe predigo muitos anos de felicidade, pelo menos até eu ficar velho: mas só quando eu der uma paradinha marota para olhar para trás, aí você pode se mandar, eu compreendo. E porque você é uma menina com uma flor e tem um andar de pajem medieval; e porque você quando canta nem um mosquito ouve a sua voz, e você desafina lindo e logo conserta, e às vezes acorda no meio da noite e fica cantando feito uma maluca. E porque você tem um ursinho chamado Nounouse e fala mal de mim para ele, e ele escuta e não concorda porque ele é muito meu chapa, e quando você se sente perdida e sozinha no mundo você se deita agarrada com ele e chora feito uma boba fazendo um bico deste tamanho. E porque você é uma menina que não pisca nunca e seus olhos foram feitos na primeira noite da Criação, e você é capaz de ficar me olhando horas. E porque você é uma menina que tem medo de ver a Cara-na-Vidraça, e quando eu olho você muito tempo você vai ficando nervosa até eu dizer que estou brincando. E porque você é uma menina com uma flor e cativou meu coração e adora purê de batata, eu lhe peço que me sagre seu Constante e Fiel Cavalheiro. E sendo você uma menina com uma flor, eu lhe peço também que nunca mais me deixe sozinho, como nesse último mês em Paris; fica tudo uma rua silenciosa e escura que não vai dar em lugar nenhum; os móveis ficam parados me olhando com pena; é um vazio tão grande que as mulheres nem ousam me amar porque dariam tudo para ter um poeta penando assim por elas, a mão no queixo, a perna cruzada triste e aquele olhar que não vê. E porque você é a única menina com uma flor que eu conheço, eu escrevi uma canção tão bonita para você, ""Minha namorada"", a fim de que, quando eu morrer, você, se por acaso não morrer também, fique deitadinha abraçada com Nounouse cantando sem voz aquele pedaço que eu digo que você tem de ser a estrela derradeira, minha amiga e companheira, no infinito de nós dois. E já que você é uma menina com uma flor e eu estou vendo você subir agora - tão purinha entre as marias-sem-vergonha - a ladeira que traz ao nosso chalé, aqui nessas montanhas recortadas pela mão de Guignard; e o meu coração, como quando você me disse que me amava, põe-se a bater cada vez mais depressa. E porque eu me levanto para recolher você no meu abraço, e o mato à nossa volta se faz murmuroso e se enche de vaga-lumes enquanto a noite desce com seus segredos, suas mortes, seus espantos - eu sei, ah, eu sei que o meu amor por você é feito de todos os amores que eu já tive, e você é a filha dileta de todas as mulheres que eu amei; e que todas as mulheres que eu amei, como tristes estátuas ao longo da aléia de um jardim noturno, foram passando você de mão em mão até mim, cuspindo no seu rosto e enfrentando a sua fronte de grinaldas; foram passando você até mim entre cantos, súplicas e vociferações - porque você é linda, porque você é meiga e sobretudo porque você é uma menina com uma flor.  ", Vinícius de Moraes. ,pt
 Samba de Orly  ,  Vinicius de Moraes ,"  Vai meu irmão Pegue esse avião Você tem razão De correr assim Desse frio, mas beija O meu Rio de Janeiro Antes que um aventureiro Lance mão... Pede perdão pela duração Dessa temporada Mas não diga nada Que me viu chorando E pr'os da pesada Diz que eu vou levando... Vê como é que anda Aquela vida à tôa E se puder me manda Uma notícia boa... Vai meu irmão Pegue esse avião Você tem razão De correr assim Desse frio, mas beija O meu Rio de Janeiro Antes que um aventureiro Lance mão... Pede perdão pela duração Dessa temporada Mas não diga nada Que me viu chorando E pr'os da pesada Diz que eu vou levando... Vê como é que anda Aquela vida à tôa E se puder me manda Uma notícia boa... Vai meu irmão Pegue esse avião Você tem razão Mas não diga nada Que me viu chorando E pr'os da pesada Diz que eu vou levando... Pede perdão pela duração Dessa temporada Vê como é que anda Aquela vida à tôa E se puder me manda Uma notícia boa...  ", Cho Buarque / Toquinho / Vinícius de Moraes. ,pt
 Tempo Feliz  ,  Vinicius de Moraes ,"  Feliz o tempo que passou, passou Tempo tão cheio de recordações Tantas canções ele deixou, deixou Trazendo paz a tantos corações Que sons mais lindos tinha pelo ar Que alegria de viver Ah, meu amor, que tristeza me dá Vendo o dia querendo amanhecer E ninguém cantar Mas, meu bem Deixa estar, tempo vai Tempo vem E quando um dia esse tempo voltar Eu nem quero pensar no que vai ser Até o sol raiar  ", Baden Powell / Vinícius de Moraes. ,pt
 A Galinha d' Angola  ,  Vinicius de Moraes ,"  Coitada, coitadinha Da galinha-d'Angola Não anda ultimamente Regulando da bola Ela vende confusão E compra briga Gosta muito de fofoca E adora intriga Fala tanto Que parece que engoliu uma matraca E vive reclamando Que está fraca Tou fraca! Tou fraca!  Tou fraca! Tou fraca! Tou fraca! Coitada, coitadinha Da galinha-d'Angola Não anda ultimamente Regulando da bola Come tanto Até ter dor de barriga Ela é uma bagunceira De uma figa Quando choca, cocoroca Come milho e come caca E vive reclamando Que está fraca Tou fraca! Tou fraca! Tou fraca!  ", Toquinho / Vinícius de Moraes. ,pt
 Algum Lugar  ,  Vinicius de Moraes ,"  Meu amor Não posso mais  Viver aqui Não tenho paz  Eu quero ir Pra algum lugar  Pra algum lugar  Pra algum lugar  E ser feliz Ouvir o mar  E amar Meu amor Vamos fugir Vou me mandar  Não quero mais  Viver sem ar Me poluir  Me poluir  Me poluir  Ter que me dar  Com quem não sabe  Amar Não sei mais pr'onde ir Pasárgada ou Shangri-lá Será que há por aqui Algum lugar, eu sei lá Pra gente amar E aquela estrela ali Podia bem ser um bar Pra ir é só curtir E escalar o luar Bem devagar Meu amor Tem que ser já Eu vou sumir Sair daqui Vou te levar Pra algum lugar Pra algum lugar Pra algum lugar E sempre só Você e eu E o mar  ", Marilia Medalha / Vinícius de Moraes. ,pt
 Canção do Amor Demais  ,  Vinicius de Moraes ,"  Quero chorar porque te amei demais Quero morrer porque me deste a vida Oh, meu amor, será que nunca hei de ter paz Será que tudo que há em mim Só quer sentir saudade E já nem sei o que vai ser de mim Tudo me diz que amar será meu fim Que desespero traz o amor! Eu nem sabia o que era o amor Agora sei porque não sou feliz  ", Antonio Carlos Jobim / Vinícius de Moraes. ,pt
 Epitáfio  ,  Vinicius de Moraes ,"  Aqui jaz o Sol Que criou a aurora E deu a luz ao dia E apascentou a tarde O mágico pastor De mãos luminosas Que fecundou as rosas E as despetalou. Aqui jaz o Sol O andrógino meigo E violento, que Possui a forma De todas as mulheres E morreu no mar.  ", Vinícius de Moraes. ,pt
 O Mais-que-perfeito  ,  Vinicius de Moraes ,"  Ah, quem me dera Ir-me contigo agora A um horizonte firme, comum Embora amar-te Ah, quem me dera amar-te Sem mais ciúmes De alguém em algum lugar Que nem presumes Ah, quem me dera ver-te Sempre a meu lado Sem precisar dizer-te Jamais cuidado Ah, quem me dera ter-te Como um lugar Plantado num chão verde Para eu morar-te Ah, quem me dera ter-te Morar-te até morrer-te  ", Jards Macalé / Vinícius de Moraes. ,pt
 O Pintinho  ,  Vinicius de Moraes ,"  Pintinho novo Pintinho tonto Não estás no ponto Volta pro ovo Eu não me calo Falo de novo Não banque o galo Volta pro ovo A tia raposa Não marca touca Tá só te olhando Com água na boca E se ligeiro você escapar Tem um granjeiro Que vai te adotar O meu ovo está estreitinho  Já me sinto um galetinho  Já posso sair sozinho  Eu já sou dono de mim  Vou ciscar pela cidade  Grão-de-bico em quantidade  Muito milho e liberdade  Por fim Pintinho raro Pintinho novo Tá tudo caro Volta pro ovo E o tempo inteiro Terás pintinho Um cozinheiro No teu caminho Por isso eu digo E falo de novo Pintinho amigo Então volta pro ovo Se de repente você escapar Num forno quente você vai parar Gosto muito dessa vida Ensopada ou cozida Até assada é divertida Com salada e aipim Tudo lindo, a vida é bela Mesmo sendo à cabidela Pois será numa panela Meu fim Por isso eu digo E falo de novo Pintinho amigo Então volta pro ovo E se ligeiro você escapar Tem um granjeiro Que vai te adotar  ", Gilda Mattoso / Pipo Caruso / Sergio Bardotti / Toquinho / Vinícius de Moraes. ,pt
 Ouve o Silêncio  ,  Vinicius de Moraes ,"  Cala Ouve o silêncio Ouve o silêncio Que nos fala tristemente Desse amor que não podemos ter Não fala Fala baixinho Diz bem de leve um segredo Um verso de esperança em nosso amor Não, oh, meu amor! Canta a beleza de viver! Saúda o sol e a alegria de amar Em nossa grande solidão  ", Cláudio Santoro / Vinícius de Moraes. ,pt
 Samba da Volta  ,  Vinicius de Moraes ,"  Você voltou, meu amor Alegria que me deu Quando a porta abriu você me olhou Você sorriu, ah, você se derreteu E se atirou, me envolveu,  nem brincou Conferiu o que era seu É verdade eu reconheço Eu tantas fiz,  mas agora tanto faz O perdão pediu seu preço, meu amor Eu te Amo e Deus é mais.  ", Toquinho / Vinícius de Moraes. ,pt
 A Brusca Poesia da Mulher  ,  Vinicius de Moraes ,"  Minha mãe, alisa de minha fronte todas as cicatrizes do passado Minha irmã, conta-me histórias da infância em que que eu haja sido herói sem mácula Meu irmão, verifica-me a pressão, o colesterol, a turvação do timol, a bilirrubina Maria, prepara-me uma dieta baixa em calorias, preciso perder cinco quilos Chamem-me a massagista, o florista, o amigo fiel para as confidências E comprem bastante papel; quero todas as minhas esferográficas Alinhadas sobre a mesa, as pontas prestes à poesia. Eis que se anuncia de modo sumamente grave A vinda da mulher amada, de cuja fragrância já me chega o rastro. É ela uma menina, parece de plumas E seu canto inaudível acompanha desde muito a migração dos ventos Empós meu canto. É ela uma menina. Como um jovem pássaro, uma súbita e lenta dançarina Que para mim caminha em pontas, os braços suplicantes Do meu amor em solidão. Sim, eis que os arautos Da descrença começam a encapuçar-se em negros mantos Para cantar seus réquiens e os falsos profetas A ganhar rapidamente os logradouros para gritar suas mentiras. Mas nada a detém; ela avança, rigorosa Em rodopios nítidos Criando vácuos onde morrem as aves. Seu corpo, pouco a pouco Abre-se em pétalas... Ei-la que vem vindo Como uma escura rosa voltejante Surgida de um jardim imenso em trevas. Ela vem vindo... Desnudai-me, aversos! Lavai-me, chuvas! Enxugai-me, ventos! Alvoroçai-me, auroras nascituras! Eis que chega de longe, como a estrela De longe, como o tempo A minha amada última!  ", Vinícius de Moraes. ,pt
 Amor Em Lágrimas  ,  Vinicius de Moraes ,"  Ouve o mar que soluça na solidão Ouve, amor, o mar que soluça Na mais triste solidão E ouve, amor, os ventos que voltam Dos espaços que ninguém sabe Sobre as ondas se debruçam E soluçam de paixão E ouve, amor, no fundo da noite Como as árvores ao vento Num lamento se debruçam E soluçam para o chão Deixa amor que um corpo sedento Como as árvores e o vento No teu corpo se debruce E soluce de paixão  ", Cláudio Santoro / Vinícius de Moraes. ,pt
 Canto de Oxum  ,  Vinicius de Moraes ,"  Nhe-nhen-nhen Nhen-nhen-nhen-xo-rodô Nhe-nhen-nhen Nhen-nhen-nhen-xo-rodô É o mar, é o mar Fé-fé xo-ro-dô! Nhe-nhen-nhen Nhen-nhen-nhen-xo-rodô Nhe-nhen-nhen Nhen-nhen-nhen-xo-rodô É o mar, é o mar Fé-fé xo-ro-dô! Xangô andava em guerra Vencia toda terra Tinha ao seu lado Iansã pra lhe ajudar Oxum era a rainha Na mão direita tinha O Seu espelho onde vivia a se mirar Nhe-nhen-nhen Nhen-nhen-nhen-xo-rodô Nhe-nhen-nhen Nhen-nhen-nhen-xo-rodô É o mar, é o mar, fé-fé xo-ro-dô! Nhe-nhen-nhen Nhen-nhen-nhen-xo-rodô Nhe-nhen-nhen Nhen-nhen-nhen-xo-rodô É o mar, é o mar Fé-fé xo-ro-dô! Quando Xangô voltou O povo celebrou Teve uma festa que ninguém mais esqueceu Tão linda Oxum entrou Que veio o Rei Xangô E a colocou no trono esquerdo ao lado seu Nhe-nhen-nhen Nhen-nhen-nhen-xo-rodô Nhe-nhen-nhen Nhen-nhen-nhen-xo-rodô É o mar, é o mar Fé-fé xo-ro-dô! Nhe-nhen-nhen Nhen-nhen-nhen-xo-rodô Nhe-nhen-nhen Nhen-nhen-nhen-xo-rodô É o mar, é o mar Fé-fé xo-ro-dô! Iansã apaixonada Cravou a sua espada No lugar vago que era o trono da tradição Chamou um temporal E no pavor geral Correu dali gritando a sua maldição (Eparrei, Iansã) Nhe-nhen-nhen Nhen-nhen-nhen-xo-rodô Nhe-nhen-nhen Nhen-nhen-nhen-xo-rodô  ", Toquinho / Vinícius de Moraes. ,pt
 Canto do Caboclo Pedra-preta  ,  Vinicius de Moraes ,"  Olô pandeiro, olô viola Olô pandeiro, olô viola Pandeiro não quer que eu sambe aqui Viola não quer que eu vá embora Olô pandeiro, olô viola Olô pandeiro, olô viola Pandeiro quando toca faz pedra-preta chegar Viola quando toca faz pedra-preta sambar O pandeiro diz: Pedra-preta não samba aqui, não A viola diz: Pedra-preta não sai daqui, não Pedra-preta diz: Pandeiro tem que pandeirar Pedra-preta diz: Viola tem que violar O galo no terreiro fora de hora cantou Pandeiro foi-se embora e pedra-preta gritou Olô pandeiro, olô viola  ", Baden Powell. ,pt
" Olhe Aqui, Mr. Buster  ",  Vinicius de Moraes ,"  Olhe aqui, Mr. Buster: está muito certo Que o Sr. tenha um apartamento em Park Avenue e uma casa em Beverly Hills. Está muito certo que em seu apartamento de Park Avenue O Sr. tenha um caco de friso do Partenon, e no quintal de sua casa em Hollywood Um poço de petróleo trabalhando de dia para lhe dar dinheiro e de noite para lhe dar insônia Está muito certo que em ambas as residências O Sr. tenha geladeiras gigantescas capazes de conservar o seu preconceito racial Por muitos anos a vir, e vacuum-cleaners com mais chupo Que um beijo de Marilyn Monroe, e máquinas de lavar Capazes de apagar a mancha de seu desgosto de ter posto tanto dinheiro em vão na guerra da Coréia.  Está certo que em sua mesa as torradas saltem nervosamente de torradeiras automáticas E suas portas se abram com célula fotelétrica. Está muito certo Que o Sr. tenha cinema em casa para os meninos verem filmes de mocinho Isto sem falar nos quatro aparelhos de televisão e na fabulosa hi-fi Com alto-falantes espalhados por todos os andares, inclusive nos banheiros. Está muito certo que a Sra. Buster seja citada uma vez por mês por Elsa Maxwell E tenha dois psiquiatras: um em Nova York, outro em Los Angeles, para as duas ""estações"" do  ano. Está tudo muito certo, Mr. Buster - o Sr. ainda acabará governador do seu estado E sem dúvida presidente de muitas companhias de petróleo, aço e consciências enlatadas. Mas me diga uma coisa, Mr. Buster Me diga sinceramente uma coisa, Mr. Buster: O Sr. sabe lá o que é um choro de Pixinguinha? O Sr. sabe lá o que é ter uma jabuticabeira no quintal? O Sr. sabe lá o que é torcer pelo Botafogo?  ", Vinícius de Moraes. ,pt
